Algorithm,Reference Length,Frame Size,Fault Ratio,Hit Ratio,Execution Time,Memory Usage
FIFO,50,3,0.8,0.2,4.21E-05,1872
OPT,50,3,0.6,0.4,0.0001723,1616
LFU,50,3,0.8,0.2,8.92E-05,1560
MFU,50,3,0.74,0.26,8.08E-05,1624
Second Chance,50,3,0.82,0.18,2.04E-05,272
Enhanced Second Chance,50,3,0.02,0,6.84E-05,320
Aging (NFU),50,3,0.82,0.18,0.0001648,472
Page Buffering,50,3,0.58,0.42,3.00E-05,2224
Aging Optimized,50,3,0.82,0.18,0.0001191,776
Enhanced Second Chance Optimized,50,3,0.8,0.2,6.42E-05,192
Page Buffering Optimized,50,3,0.24,0.76,3.30E-05,1672
FIFO,50,5,0.68,0.32,1.60E-05,2128
OPT,50,5,0.44,0.56,0.0001326,1824
LFU,50,5,0.62,0.38,6.34E-05,1816
MFU,50,5,0.6,0.4,6.04E-05,1880
Second Chance,50,5,0.68,0.32,1.46E-05,192
Enhanced Second Chance,50,5,0.02,0,6.60E-05,312
Aging (NFU),50,5,0.66,0.34,0.0004425,520
Page Buffering,50,5,0.42,0.58,3.96E-05,2728
Aging Optimized,50,5,0.7,0.3,0.0002069,1144
Enhanced Second Chance Optimized,50,5,0.62,0.38,0.0001068,240
Page Buffering Optimized,50,5,0.22,0.78,6.80E-05,1528
FIFO,50,7,0.5,0.5,1.54E-05,1600
OPT,50,7,0.32,0.68,9.45E-05,1826
LFU,50,7,0.46,0.54,5.61E-05,1816
MFU,50,7,0.52,0.48,5.78E-05,1880
Second Chance,50,7,0.42,0.58,1.57E-05,224
Enhanced Second Chance,50,7,0.02,0,6.42E-05,360
Aging (NFU),50,7,0.52,0.48,0.000146,568
Page Buffering,50,7,0.34,0.66,1.46E-05,2200
Aging Optimized,50,7,0.54,0.46,0.0001564,1984
Enhanced Second Chance Optimized,50,7,0.52,0.48,5.63E-05,288
Page Buffering Optimized,50,7,0.22,0.78,4.24E-05,1176
FIFO,100,3,0.75,0.25,2.61E-05,2128
OPT,100,3,0.54,0.46,0.000266,1688
LFU,100,3,0.71,0.29,0.0001198,1560
MFU,100,3,0.68,0.32,0.0001146,1624
Second Chance,100,3,0.76,0.24,1.63E-05,160
Enhanced Second Chance,100,3,0.01,0,0.0001089,264
Aging (NFU),100,3,0.76,0.24,0.0003301,472
Page Buffering,100,3,0.56,0.44,3.16E-05,2752
Aging Optimized,100,3,0.76,0.24,0.0003677,776
Enhanced Second Chance Optimized,100,3,0.75,0.25,0.0001847,192
Page Buffering Optimized,100,3,0.13,0.87,3.67E-05,1464
FIFO,100,5,0.59,0.41,3.66E-05,2128
OPT,100,5,0.35,0.65,0.000218,1936
LFU,100,5,0.57,0.43,0.0001404,1816
MFU,100,5,0.55,0.45,0.0001383,1880
Second Chance,100,5,0.58,0.42,5.87E-05,192
Enhanced Second Chance,100,5,0.01,0,0.0001193,312
Aging (NFU),100,5,0.57,0.43,0.0002874,520
Page Buffering,100,5,0.33,0.67,2.36E-05,2752
Aging Optimized,100,5,0.56,0.44,0.0001627,1144
Enhanced Second Chance Optimized,100,5,0.62,0.38,0.0001181,240
Page Buffering Optimized,100,5,0.13,0.87,3.01E-05,1464
FIFO,100,7,0.37,0.63,2.30E-05,2128
OPT,100,7,0.21,0.79,0.0001408,2041
LFU,100,7,0.41,0.59,0.0001057,1816
MFU,100,7,0.4,0.6,7.38E-05,1880
Second Chance,100,7,0.38,0.62,4.33E-05,224
Enhanced Second Chance,100,7,0.01,0,0.0002163,360
Aging (NFU),100,7,0.43,0.57,0.000315,568
Page Buffering,100,7,0.23,0.77,4.58E-05,2728
Aging Optimized,100,7,0.42,0.58,0.0002891,1984
Enhanced Second Chance Optimized,100,7,0.41,0.59,0.0001701,288
Page Buffering Optimized,100,7,0.11,0.89,5.30E-05,1240
FIFO,200,3,0.745,0.255,6.81E-05,2128
OPT,200,3,0.54,0.46,0.0006554,2496
LFU,200,3,0.725,0.275,0.0002337,1560
MFU,200,3,0.775,0.225,0.0002667,1624
Second Chance,200,3,0.75,0.25,4.10E-05,160
Enhanced Second Chance,200,3,0.005,0,0.0002761,264
Aging (NFU),200,3,0.745,0.255,0.0008175,472
Page Buffering,200,3,0.56,0.44,3.22E-05,2752
Aging Optimized,200,3,0.75,0.25,0.0004246,776
Enhanced Second Chance Optimized,200,3,0.76,0.24,0.0002245,192
Page Buffering Optimized,200,3,0.08,0.92,4.05E-05,1432
FIFO,200,5,0.625,0.375,4.12E-05,2128
OPT,200,5,0.355,0.645,0.0004978,2728
LFU,200,5,0.565,0.435,0.0002906,1816
MFU,200,5,0.605,0.395,0.0004742,1880
Second Chance,200,5,0.615,0.385,5.58E-05,192
Enhanced Second Chance,200,5,0.005,0,0.0002724,312
Aging (NFU),200,5,0.605,0.395,0.0006052,520
Page Buffering,200,5,0.335,0.665,3.82E-05,2752
Aging Optimized,200,5,0.6,0.4,0.0003404,1144
Enhanced Second Chance Optimized,200,5,0.615,0.385,0.0002357,240
Page Buffering Optimized,200,5,0.06,0.94,4.26E-05,1464
FIFO,200,7,0.43,0.57,6.63E-05,2128
OPT,200,7,0.22,0.78,0.0003372,2832
LFU,200,7,0.395,0.605,0.0001546,1816
MFU,200,7,0.405,0.595,0.0001468,1880
Second Chance,200,7,0.45,0.55,3.18E-05,224
Enhanced Second Chance,200,7,0.005,0,0.0002814,360
Aging (NFU),200,7,0.46,0.54,0.000636,568
Page Buffering,200,7,0.24,0.76,4.77E-05,2752
Aging Optimized,200,7,0.43,0.57,0.0002802,1984
Enhanced Second Chance Optimized,200,7,0.355,0.645,0.0001893,288
Page Buffering Optimized,200,7,0.055,0.945,3.20E-05,1240
